pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 1861;Certification in Risk Management Assurance;04/12/2019;31/12/2029
;Pegawai 157;Asean Engineeer;19/04/2020;31/12/2029
;Pegawai 1022;Certified Human Resources Management Professional (CHRMP);06/12/2018;31/12/2029
;Pegawai 327;Certified Sustainability Reporting Specialist;02/08/2021;31/12/2029
;Pegawai 448;Certified RIsk Associate;28/08/2020;31/12/2029
;Pegawai 1456;Certification in Risk Management Assurance;24/03/2021;31/12/2029
;Pegawai 1528;Sertifikasi Change Management;21/08/2020;31/12/2029
;Pegawai 813;Certified Contract Management Specialist;01/02/2022;31/12/2029
;Pegawai 8;Enterprise Risk Management Certified Professional;17/02/2022;31/12/2029
;Pegawai 692;Corporate Forensic Auditor;13/02/2019;31/12/2029
;Pegawai 689;Certified Hacking Forensic Investigator;19/11/2020;31/12/2029
;Pegawai 1978;Certified Risk Management Officer;08/09/2018;31/12/2029
;Pegawai 416;Certified IPSAS Specialist;18/05/2021;31/12/2029
;Pegawai 1808;Certificate in International Public Sector Accounting Standards;11/12/2022;31/12/2029
;Pegawai 463;Enterprise Risk Management Certified Professional;09/04/2020;31/12/2029
;Pegawai 1372;Qualified Risk Management Officer;27/08/2021;31/12/2029
;Pegawai 547;Certified Human Resources Management Professional;22/10/2020;31/12/2029
;Pegawai 436;Ahli Akuntansi Pemerintahan;21/02/2020;31/12/2029
;Pegawai 1968;Oxygen Forensic Certified;09/08/2021;31/12/2029
;Pegawai 1089;Certified Human Resources Specialist;02/11/2018;31/12/2029
;Pegawai 1714;Certified Management Accountants;13/12/2019;31/12/2029
;Pegawai 1712;Qualified Risk Management Officer;19/10/2022;31/12/2029
;Pegawai 334;Loop Certified Corporate Coach;03/01/2020;31/12/2029
;Pegawai 1047;Certified Contract Management Specialist;18/09/2021;31/12/2029
;Pegawai 431;Certified Pernyataan Standar Akuntansi Keuangan;21/08/2022;31/12/2029
;Pegawai 1384;Cerified Sustainability Reporting Assurer;18/10/2018;31/12/2029
;Pegawai 1329;Certified Hacking Forensic Investigator;18/10/2021;31/12/2029
;Pegawai 1293;Certified Human Resources Management Professional (CHRMP);25/01/2020;31/12/2029
;Pegawai 1863;EnCase Certified Examiner;21/01/2022;31/12/2029
;Pegawai 401;Certified Hacking Forensic Investigator;29/03/2018;31/12/2029
;Pegawai 1814;Certified Grafologie Analyst;07/10/2019;31/12/2029
;Pegawai 1590;Certified Sustainability Practitioner;03/02/2019;31/12/2029
;Pegawai 1812;Certified Government Auditing Professional;04/01/2018;31/12/2029
;Pegawai 625;Loop Certified Corporate Coach;22/02/2021;31/12/2029
;Pegawai 62;Cellebrite Certified Physical Analyst;25/03/2020;31/12/2029
;Pegawai 1590;Certified Internal Audit Officer;06/12/2022;31/12/2029
;Pegawai 1384;Governance  Risk Management and Compliance Audit;17/01/2021;31/12/2029
;Pegawai 948;Teknisi Akuntansi;07/02/2019;31/12/2029
;Pegawai 397;Certified Government Accounting Associate;20/07/2019;31/12/2029
;Pegawai 1301;Certified Financial Planner;19/10/2018;31/12/2029
;Pegawai 238;Sertifikasi Change Management;30/08/2021;31/12/2029
;Pegawai 677;Cyber Security Foundation Professional;26/06/2021;31/12/2029
;Pegawai 1528;Associate Certified Public Accountant;16/03/2022;31/12/2029
;Pegawai 590;Certified Forensic Auditor;22/12/2022;31/12/2029
;Pegawai 507;ASEAN Chartered Professional Accountant;20/05/2018;31/12/2029
;Pegawai 103;AccessData Certified Examiner;24/02/2021;31/12/2029
;Pegawai 1003;Certificate in International Public Sector Accounting Standards;17/01/2021;31/12/2029
;Pegawai 350;Certified Pernyataan Standar Akuntansi Keuangan;03/03/2021;31/12/2029
;Pegawai 699;Certified IPSAS Specialist;12/01/2019;31/12/2029
;Pegawai 1183;Ahli Akuntansi Pemerintahan;28/02/2022;31/12/2029
;Pegawai 1101;Qualified Risk Management Professional;31/08/2020;31/12/2029
;Pegawai 1882;Cellebrite Certified Officer;02/09/2019;31/12/2029
;Pegawai 1058;Certified Government Auditing Professional;20/06/2018;31/12/2029
;Pegawai 1149;Certified Public Accountant;09/01/2021;31/12/2029
;Pegawai 886;Loop Certified Corporate Coach;23/10/2022;31/12/2029
;Pegawai 896;Certified Risk Management Officer;03/04/2022;31/12/2029
;Pegawai 1643;ASEAN Chartered Professional Accountant;24/05/2022;31/12/2029
;Pegawai 68;Cellebrite Certified Physical Analyst;30/01/2019;31/12/2029
;Pegawai 862;Certification in Risk Management Assurance;31/01/2021;31/12/2029
;Pegawai 1058;Qualified Risk Management Professional;28/05/2022;31/12/2029
;Pegawai 1359;Certified Manpower Planner;02/01/2021;31/12/2029
;Pegawai 1470;Qualified Risk Management Professional;06/07/2020;31/12/2029
;Pegawai 318;Insinyur Professional Madya;18/09/2020;31/12/2029
;Pegawai 366;Enterprise Risk Management Certified Professional;21/05/2020;31/12/2029
;Pegawai 18;Associate Certified Public Accountant;04/06/2021;31/12/2029
;Pegawai 1724;Certified Management Accountants;24/06/2021;31/12/2029
;Pegawai 1839;Certified Grafologie Analyst;12/07/2021;31/12/2029
;Pegawai 1800;Certified Public Accountant;29/06/2019;31/12/2029
;Pegawai 632;EnCase Certified Examiner;18/03/2020;31/12/2029
;Pegawai 1129;Certified Human Resources Specialist;09/02/2020;31/12/2029
;Pegawai 1700;Certified Hacking Forensic Investigator;23/12/2022;31/12/2029
;Pegawai 1198;Certified Government Auditing Professional;29/08/2019;31/12/2029
;Pegawai 884;AccessData Certified Examiner;04/01/2020;31/12/2029
;Pegawai 1262;Qualified Risk Management Professional;28/05/2021;31/12/2029
;Pegawai 1832;Cellebrite Certified Physical Analyst;22/01/2022;31/12/2029
;Pegawai 1259;Qualified Risk Management Professional;22/12/2018;31/12/2029
;Pegawai 444;Certified Legal Auditor;15/10/2022;31/12/2029
;Pegawai 1661;Certified Financial Planner;10/03/2019;31/12/2029
;Pegawai 908;Asean Engineeer;25/04/2022;31/12/2029
;Pegawai 1860;Governance Risk Management and Compliance Professional;03/03/2021;31/12/2029
;Pegawai 523;Certificate in International Public Sector Accounting Standards;01/07/2019;31/12/2029
;Pegawai 923;Oxygen Forensic Certified;29/03/2019;31/12/2029
;Pegawai 750;Certified Sustainability Practitioner;21/05/2021;31/12/2029
;Pegawai 1867;Oxygen Forensic Certified;11/03/2019;31/12/2029
;Pegawai 1548;Certified Professional Coach;08/12/2021;31/12/2029
;Pegawai 13;AccessData Certified Examiner;31/08/2020;31/12/2029
;Pegawai 1989;Certified Internal Control Auditor;05/05/2018;31/12/2029
;Pegawai 1154;Ahli Akuntansi Pemerintahan B;07/11/2020;31/12/2029
;Pegawai 405;Oxygen Forensic Certified;29/06/2021;31/12/2029
;Pegawai 1238;Certified Contract Management Specialist;05/05/2018;31/12/2029
;Pegawai 1779;Certified Government Accounting Associate;18/08/2022;31/12/2029
;Pegawai 1733;Cerified Sustainability Reporting Assurer;31/07/2021;31/12/2029
;Pegawai 1440;Certified Financial Planner;20/01/2021;31/12/2029
;Pegawai 1973;Certified Financial Planner;14/11/2018;31/12/2029
;Pegawai 509;Certified Human Resources Professional;10/02/2019;31/12/2029
;Pegawai 1256;Asean Engineeer;01/01/2020;31/12/2029
;Pegawai 1915;Asean Engineeer;17/12/2022;31/12/2029
;Pegawai 615;Certified Human Resources Management Professional;06/10/2019;31/12/2029
;Pegawai 347;Enterprise Risk Management Certified Professional;25/02/2018;31/12/2029
;Pegawai 1153;Certificate in Data Analytics;31/01/2021;31/12/2029
;Pegawai 1745;ASEAN Chartered Professional Accountant;28/04/2018;31/12/2029
;Pegawai 1154;Sertifikasi Change Management;15/02/2018;31/12/2029
;Pegawai 440;Certified Risk Management Officer;26/01/2021;31/12/2029
;Pegawai 1736;Cellebrite Certified Operator;07/05/2022;31/12/2029
;Pegawai 352;Certified Legal Auditor;28/08/2019;31/12/2029
;Pegawai 480;Loop Certified Corporate Coach;06/08/2022;31/12/2029
;Pegawai 1185;Qualified Risk Management Professional;17/03/2022;31/12/2029
;Pegawai 1001;Asean Engineeer;23/05/2022;31/12/2029
;Pegawai 1565;ASEAN Chartered Professional Accountant;06/10/2020;31/12/2029
;Pegawai 243;Advanced Diploma in Forensic Accounting - Level 5;22/09/2019;31/12/2029
;Pegawai 660;Certified Manpower Planner;15/03/2018;31/12/2029
;Pegawai 261;Certified Financial Planner;13/05/2018;31/12/2029
;Pegawai 940;Certified Information System Auditors;20/09/2018;31/12/2029
;Pegawai 1423;Certified Professional Talent Management;31/12/2018;31/12/2029
;Pegawai 1093;Certified Internal Audit Officer;25/10/2020;31/12/2029
;Pegawai 1589;Cellebrite Certified Physical Analyst;16/03/2019;31/12/2029
;Pegawai 217;Cyber Security Foundation Professional;17/06/2019;31/12/2029
;Pegawai 155;Qualified Government Internal Auditor;07/05/2018;31/12/2029
;Pegawai 1047;Certified State Finance Auditor;26/09/2022;31/12/2029
;Pegawai 832;Certified Manpower Planner;18/03/2020;31/12/2029
;Pegawai 1731;Certified Government Chief Audit Executive;22/04/2021;31/12/2029
;Pegawai 33;Certification in Control Self-Assessment;21/06/2019;31/12/2029
;Pegawai 683;Enterprise Risk Management Certified Professional;30/05/2020;31/12/2029
;Pegawai 297;Ahli Akuntansi Pemerintahan B;09/03/2020;31/12/2029
;Pegawai 538;Certified Government Accounting Associate;01/03/2020;31/12/2029
;Pegawai 1636;Certified Hacking Forensic Investigator;25/04/2018;31/12/2029
;Pegawai 1552;Certified Professional Talent Management;14/12/2018;31/12/2029
;Pegawai 417;Certified Human Resources Management Professional;28/02/2021;31/12/2029
;Pegawai 1559;Certificate in International Public Sector Accounting Standards;02/05/2022;31/12/2029
;Pegawai 104;Certified Data Centre Professional;16/12/2018;31/12/2029
;Pegawai 1196;Certified RIsk Associate;30/05/2019;31/12/2029
;Pegawai 338;Certified Risk Management Officer;18/08/2021;31/12/2029
;Pegawai 1479;Certified Internal Audit Officer;19/05/2022;31/12/2029
;Pegawai 461;Certified Procurement Specialist;08/12/2020;31/12/2029
;Pegawai 965;ASEAN Chartered Professional Accountant;30/10/2021;31/12/2029
;Pegawai 486;Certified Professional Talent Management;14/06/2018;31/12/2029
;Pegawai 1567;Insinyur;11/04/2018;31/12/2029
;Pegawai 471;Certified Risk Management Professional;22/08/2022;31/12/2029
;Pegawai 1097;Certified Human Resources Analyst;15/03/2021;31/12/2029
;Pegawai 1066;Certified Human Resources Management Professional (CHRMP);30/03/2020;31/12/2029
;Pegawai 1112;Governance Risk Management and Compliance Professional;31/12/2022;31/12/2029
;Pegawai 1675;Certificate in Data Analytics;18/08/2021;31/12/2029
;Pegawai 1305;Qualified Government Internal Auditor;10/03/2021;31/12/2029
;Pegawai 320;Ahli Akuntansi Pemerintahan A;12/12/2019;31/12/2029
;Pegawai 875;Ahli Akuntansi Pemerintahan A;23/09/2020;31/12/2029
;Pegawai 503;Certificate in Data Analytics;06/09/2018;31/12/2029
;Pegawai 64;Certified IPSAS Specialist;25/01/2021;31/12/2029
;Pegawai 1565;Asean Engineeer;30/04/2020;31/12/2029
;Pegawai 1330;Certified Accounting Technician;08/06/2022;31/12/2029
;Pegawai 1755;Advanced Diploma in Forensic Accounting - Level 5;18/04/2022;31/12/2029
;Pegawai 1954;Certified RIsk Associate;17/02/2021;31/12/2029
;Pegawai 1850;Certified Internal Auditor;21/05/2018;31/12/2029
;Pegawai 1159;Governance Risk Management and Compliance Professional;15/08/2021;31/12/2029
;Pegawai 147;Teknisi Akuntansi;04/03/2021;31/12/2029
;Pegawai 194;Certified Government Accounting Associate;14/11/2018;31/12/2029
;Pegawai 1129;Insinyur;06/04/2018;31/12/2029
;Pegawai 901;Certified Public Accountant;31/08/2019;31/12/2029
;Pegawai 787;Enterprise Risk Management Certified Professional;20/11/2022;31/12/2029
;Pegawai 437;Certified Internal Audit Officer;27/11/2021;31/12/2029
;Pegawai 1763;Certified Public Accountant;14/08/2019;31/12/2029
;Pegawai 530;Certified Government Auditing Professional;27/07/2021;31/12/2029
;Pegawai 1803;Certified Fraud Examiner;03/01/2018;31/12/2029
;Pegawai 1899;Certified Internal Auditor;16/02/2022;31/12/2029
;Pegawai 1741;ASEAN Chartered Professional Accountant;29/12/2019;31/12/2029
;Pegawai 1165;Corporate Forensic Auditor;16/12/2020;31/12/2029
;Pegawai 994;Certified Contract Management Specialist;23/07/2018;31/12/2029
;Pegawai 422;Chartered Accountant;05/04/2018;31/12/2029
;Pegawai 887;Cerified Sustainability Reporting Assurer;23/08/2022;31/12/2029
;Pegawai 1257;Certified Risk Professional;21/12/2020;31/12/2029
;Pegawai 1986;Enterprise Risk Management Certified Professional;16/09/2021;31/12/2029
;Pegawai 1919;Certified Government Chief Audit Executive;25/06/2022;31/12/2029
;Pegawai 1821;Certificate in Data Analytics;26/10/2019;31/12/2029
;Pegawai 714;Ahli Akuntansi Pemerintahan B;12/09/2019;31/12/2029
;Pegawai 1748;Certified Accounting Technician;11/09/2021;31/12/2029
;Pegawai 459;Certified Data Centre Professional;02/10/2022;31/12/2029
;Pegawai 1575;Cisco Certified Network Associate;31/07/2021;31/12/2029
;Pegawai 140;Certified Financial Planner;01/04/2022;31/12/2029
;Pegawai 1055;Governance  Risk Management and Compliance Audit;22/05/2021;31/12/2029
;Pegawai 1683;Certified Information System Auditors;20/09/2019;31/12/2029
;Pegawai 842;Certificate in Data Analytics;13/10/2019;31/12/2029
;Pegawai 853;Certified Data Centre Professional;22/06/2021;31/12/2029
;Pegawai 13;Certified Government Auditing Professional;04/01/2018;31/12/2029
;Pegawai 1947;Certified Hacking Forensic Investigator;01/08/2018;31/12/2029
;Pegawai 659;Certified Ethical Hacker;17/12/2022;31/12/2029
;Pegawai 1650;Cellebrite Certified Officer;20/08/2022;31/12/2029
;Pegawai 1973;Loop Certified Corporate Coach;20/02/2018;31/12/2029
;Pegawai 761;Certified Procurement Specialist;05/09/2019;31/12/2029
;Pegawai 1094;Certified RIsk Associate;27/06/2021;31/12/2029
;Pegawai 1223;Certified Human Resources Professional;18/04/2018;31/12/2029
;Pegawai 1997;Certified Professional Coach;07/12/2018;31/12/2029
;Pegawai 773;Certified Internal Control Auditor;20/08/2021;31/12/2029
;Pegawai 1826;Cellebrite Certified Physical Analyst;31/07/2019;31/12/2029
;Pegawai 1772;Certification in Control Self-Assessment;17/12/2022;31/12/2029
;Pegawai 304;Teknisi Akuntansi;11/03/2019;31/12/2029
;Pegawai 1328;Enterprise Risk Management Certified Professional;22/02/2019;31/12/2029
;Pegawai 1742;Certified Professional Talent Management;05/02/2020;31/12/2029
;Pegawai 359;Certification in Risk Management Assurance;12/10/2020;31/12/2029
;Pegawai 583;Qualified Risk Management Officer;15/01/2022;31/12/2029
;Pegawai 565;Certified Grafologie Analyst;08/02/2019;31/12/2029
;Pegawai 931;Certified Risk Management Professional;01/09/2020;31/12/2029
;Pegawai 4;Governance  Risk Management and Compliance Audit;26/08/2018;31/12/2029
;Pegawai 796;Enterprise Risk Management Associate Professional;23/09/2021;31/12/2029
;Pegawai 1018;Certified Human Resources Specialist;18/08/2019;31/12/2029
;Pegawai 1847;Qualified Government Internal Auditor;29/06/2018;31/12/2029
;Pegawai 1516;Certified Human Resources Specialist;05/02/2019;31/12/2029
;Pegawai 1123;Certified Accounting Technician;20/07/2020;31/12/2029
;Pegawai 1531;Enterprise Risk Management Associate Professional;01/12/2021;31/12/2029
;Pegawai 1403;Certified Government Auditing Professional;18/07/2022;31/12/2029
;Pegawai 263;Governance Risk Management and Compliance Professional;16/09/2018;31/12/2029
;Pegawai 1417;Qualified Risk Management Professional;29/11/2021;31/12/2029
;Pegawai 1676;Certified Government Accounting Associate;18/01/2020;31/12/2029
;Pegawai 1353;Cellebrite Certified Operator;19/02/2020;31/12/2029
;Pegawai 416;Qualified Risk Management Professional;11/11/2018;31/12/2029
;Pegawai 313;Certified Fraud Examiner;02/11/2020;31/12/2029
;Pegawai 1201;Teknisi Akuntansi;15/06/2019;31/12/2029
;Pegawai 266;Ahli Akuntansi Pemerintahan B;08/09/2018;31/12/2029
;Pegawai 1177;Asean Engineeer;07/05/2021;31/12/2029
;Pegawai 1712;Certified Human Resources Analyst;23/12/2018;31/12/2029
;Pegawai 701;Certified Public Accountant;12/04/2022;31/12/2029
;Pegawai 1753;Insinyur;11/12/2021;31/12/2029
;Pegawai 942;ASEAN Chartered Professional Accountant;24/03/2020;31/12/2029
;Pegawai 306;Certified Professional Talent Management;21/04/2019;31/12/2029
;Pegawai 1700;Cellebrite Certified Physical Analyst;06/10/2022;31/12/2029
;Pegawai 1837;Certified Internal Auditor;29/11/2018;31/12/2029
;Pegawai 1768;Certified Data Centre Professional;28/08/2018;31/12/2029
;Pegawai 1205;Governance  Risk Management and Compliance Audit;30/01/2020;31/12/2029
;Pegawai 803;Qualified Risk Management Officer;14/12/2019;31/12/2029
;Pegawai 859;Certified Contract Management Specialist;18/02/2020;31/12/2029
;Pegawai 548;Certified Procurement Specialist;09/06/2021;31/12/2029
;Pegawai 1461;Ahli Akuntansi Pemerintahan B;06/05/2018;31/12/2029
;Pegawai 333;Certified Government Auditing Professional;19/03/2019;31/12/2029
;Pegawai 529;Akuntan;04/07/2020;31/12/2029
;Pegawai 1551;Qualified Government Internal Auditor;10/04/2019;31/12/2029
;Pegawai 1056;Certified Sustainability Reporting Specialist;15/04/2021;31/12/2029
;Pegawai 67;Certification in Control Self-Assessment;30/07/2021;31/12/2029
;Pegawai 969;Certification in Control Self-Assessment;24/07/2019;31/12/2029
;Pegawai 1484;Certified Financial Planner;17/11/2022;31/12/2029
;Pegawai 145;Certified Procurement Specialist;15/07/2019;31/12/2029
;Pegawai 1916;Qualified Government Internal Auditor;27/05/2021;31/12/2029
;Pegawai 967;Certificate in International Auditing;29/06/2018;31/12/2029
;Pegawai 864;Qualified Risk Management Professional;27/01/2021;31/12/2029
;Pegawai 1450;Certified Secure Computer User;10/06/2018;31/12/2029
;Pegawai 623;Certificate in International Auditing;18/08/2020;31/12/2029
;Pegawai 1483;Asean Engineeer;28/02/2019;31/12/2029
;Pegawai 1651;EnCase Certified Examiner;17/01/2019;31/12/2029
;Pegawai 470;Certificate in International Public Sector Accounting Standards;31/10/2022;31/12/2029
;Pegawai 752;Certified Internal Auditor;28/02/2020;31/12/2029
;Pegawai 1426;Akuntan;02/02/2020;31/12/2029
;Pegawai 1987;Certified Fraud Examiner;12/07/2022;31/12/2029
;Pegawai 300;Cellebrite Certified Operator;25/04/2021;31/12/2029
;Pegawai 1134;Ahli Akuntansi Pemerintahan B;03/10/2021;31/12/2029
;Pegawai 587;Certified Ethical Hacker;28/01/2022;31/12/2029
;Pegawai 1256;Certified Accounting Technician;21/06/2019;31/12/2029
;Pegawai 1791;Governance Risk Management and Compliance Professional;24/05/2020;31/12/2029
;Pegawai 32;Certified Government Accounting Associate;02/06/2018;31/12/2029
;Pegawai 1656;Certificate in International Auditing;03/05/2021;31/12/2029
;Pegawai 98;Certified Human Resources Specialist;18/04/2022;31/12/2029
;Pegawai 1186;Certified Human Resources Specialist;17/07/2018;31/12/2029
;Pegawai 875;Certified Forensic Auditor;30/11/2019;31/12/2029
;Pegawai 1412;Certified Sustainability Reporting Specialist;02/09/2020;31/12/2029
;Pegawai 1021;Certified Government Chief Audit Executive;12/04/2018;31/12/2029
;Pegawai 1310;Chartered Accountant;24/07/2022;31/12/2029
;Pegawai 884;Certified Legal Auditor;27/02/2020;31/12/2029
;Pegawai 212;Corporate Forensic Auditor;20/06/2018;31/12/2029
;Pegawai 748;Certified Contract Management Specialist;15/06/2018;31/12/2029
;Pegawai 1411;Certified Information System Auditors;20/04/2021;31/12/2029
;Pegawai 846;Certified Government Auditing Professional;26/02/2021;31/12/2029
;Pegawai 1833;Ahli Akuntansi Pemerintahan B;28/04/2019;31/12/2029
;Pegawai 453;Certified Government Chief Audit Executive;12/05/2021;31/12/2029
;Pegawai 1786;Qualified Internal Auditor;11/03/2022;31/12/2029
;Pegawai 599;Certified Legal Auditor;02/09/2021;31/12/2029
;Pegawai 712;Certified Professional Management Accountant;25/07/2018;31/12/2029
;Pegawai 778;Certified Sustainability Practitioner;23/12/2022;31/12/2029
;Pegawai 478;Chartered Accountant;09/01/2021;31/12/2029
;Pegawai 1589;Insinyur;01/11/2020;31/12/2029
;Pegawai 448;Oxygen Forensic Certified;12/09/2022;31/12/2029
;Pegawai 634;Enterprise Risk Management Certified Professional;30/09/2022;31/12/2029
;Pegawai 1908;Certified Procurement Specialist;30/03/2020;31/12/2029
;Pegawai 1684;Certified Risk Professional;26/06/2018;31/12/2029
;Pegawai 86;Certified Secure Computer User;25/05/2021;31/12/2029
;Pegawai 618;Certified Information System Auditors;09/02/2018;31/12/2029
;Pegawai 705;Cellebrite Certified Officer;26/09/2020;31/12/2029
;Pegawai 360;Certified Financial Planner;29/01/2019;31/12/2029
;Pegawai 1563;Loop Certified Corporate Coach;11/11/2018;31/12/2029
;Pegawai 1578;Certified Sustainability Reporting Specialist;24/09/2020;31/12/2029
;Pegawai 1147;ASEAN Chartered Professional Accountant;12/05/2019;31/12/2029
;Pegawai 781;Certified Internal Control Auditor;28/12/2021;31/12/2029
;Pegawai 1867;Certified Internal Auditor;05/04/2021;31/12/2029
;Pegawai 451;Certified Procurement Specialist;31/01/2022;31/12/2029
;Pegawai 1621;Certified Ethical Hacker;09/08/2020;31/12/2029
;Pegawai 1821;Certified Data Centre Professional;05/02/2019;31/12/2029
;Pegawai 990;Certified Corporate Coach;01/11/2021;31/12/2029
;Pegawai 1349;Certified Pernyataan Standar Akuntansi Keuangan;30/01/2022;31/12/2029
;Pegawai 1492;Certified Human Resources Specialist;09/07/2018;31/12/2029
;Pegawai 797;Certified Internal Audit Officer;10/11/2021;31/12/2029
;Pegawai 55;Certified Risk Management Officer;27/04/2019;31/12/2029
;Pegawai 1299;Certified Procurement Specialist;28/09/2021;31/12/2029
;Pegawai 1343;Certified Human Resources Analyst;06/07/2019;31/12/2029
;Pegawai 1480;Certified Government Accounting Associate;19/11/2020;31/12/2029
;Pegawai 259;Certified Fraud Examiner;16/01/2019;31/12/2029
;Pegawai 392;Certificate in International Public Sector Accounting Standards;10/06/2019;31/12/2029
;Pegawai 1956;Certificate in International Public Sector Accounting Standards;15/04/2018;31/12/2029
;Pegawai 793;Cellebrite Certified Officer;29/11/2020;31/12/2029
;Pegawai 885;Certified Public Accountant;04/01/2018;31/12/2029
;Pegawai 1170;Certified Risk Management Professional;11/07/2022;31/12/2029
;Pegawai 181;Certified Hacking Forensic Investigator;04/03/2018;31/12/2029
;Pegawai 965;Corporate Forensic Auditor;27/02/2019;31/12/2029
;Pegawai 794;Akuntan;13/07/2020;31/12/2029
;Pegawai 1134;Certified IPSAS Specialist;30/04/2019;31/12/2029
;Pegawai 323;Qualified Government Internal Auditor;06/03/2021;31/12/2029
;Pegawai 1437;Cellebrite Certified Physical Analyst;02/03/2018;31/12/2029
;Pegawai 1125;Qualified Internal Auditor;08/01/2022;31/12/2029
;Pegawai 1435;Certified Human Resources Professional;20/10/2020;31/12/2029
;Pegawai 1991;Certified Forensic Auditor;19/09/2019;31/12/2029
;Pegawai 38;Certified Contract Management Specialist;30/06/2020;31/12/2029
;Pegawai 957;EnCase Certified Examiner;11/03/2021;31/12/2029
;Pegawai 1761;Certified Human Resources Professional;16/09/2019;31/12/2029
;Pegawai 785;Certified Internal Audit Officer;02/02/2020;31/12/2029
;Pegawai 70;Certified Professional Management Accountant;24/09/2021;31/12/2029
;Pegawai 1090;Certified Human Resources Specialist;29/02/2020;31/12/2029
;Pegawai 400;Certified Internal Auditor;21/03/2018;31/12/2029
;Pegawai 21;Cerified Sustainability Reporting Assurer;07/02/2019;31/12/2029
;Pegawai 973;Certified Human Resources Management Professional;28/02/2019;31/12/2029
;Pegawai 1951;Certified Risk Professional;21/05/2022;31/12/2029
;Pegawai 417;Certified Professional Talent Management;17/01/2021;31/12/2029
;Pegawai 1580;Certified State Finance Auditor;16/03/2020;31/12/2029
;Pegawai 1297;Enterprise Risk Management Associate Professional;17/02/2019;31/12/2029
;Pegawai 1197;Certified Public Accountant;10/01/2020;31/12/2029
;Pegawai 1230;Certified Management Accountants;09/06/2022;31/12/2029
;Pegawai 745;Certified Management Accountants;06/05/2019;31/12/2029
;Pegawai 992;Loop Certified Corporate Coach;27/06/2022;31/12/2029
;Pegawai 422;Certified Human Resources Professional;05/11/2021;31/12/2029
;Pegawai 27;Cellebrite Certified Officer;01/03/2020;31/12/2029
;Pegawai 112;Certified Information System Auditors;19/02/2022;31/12/2029
;Pegawai 770;Certified Legal Auditor;13/04/2022;31/12/2029
;Pegawai 274;Certified Data Centre Professional;02/08/2022;31/12/2029
;Pegawai 1107;Qualified Government Internal Auditor;12/01/2021;31/12/2029
;Pegawai 1793;Certified Procurement Specialist;11/03/2021;31/12/2029
;Pegawai 1867;Certified Professional Management Accountant;27/01/2021;31/12/2029
;Pegawai 855;Ahli Akuntansi Pemerintahan;13/01/2021;31/12/2029
;Pegawai 79;Certificate in International Public Sector Accounting Standards;09/11/2019;31/12/2029
;Pegawai 1938;Certified Internal Control Auditor;21/12/2021;31/12/2029
;Pegawai 816;Qualified Risk Management Officer;02/10/2021;31/12/2029
;Pegawai 627;Cellebrite Certified Operator;18/04/2022;31/12/2029
;Pegawai 1903;Asean Engineeer;10/07/2021;31/12/2029
;Pegawai 1109;Certified Management Accountants;09/11/2021;31/12/2029
;Pegawai 1992;Akuntan;19/05/2021;31/12/2029
;Pegawai 32;Certified Risk Professional;13/09/2022;31/12/2029
;Pegawai 1712;Cellebrite Certified Physical Analyst;15/08/2020;31/12/2029
;Pegawai 978;Cellebrite Certified Officer;29/01/2018;31/12/2029
;Pegawai 1252;Certificate in International Auditing;16/03/2018;31/12/2029
;Pegawai 1769;Certified Human Resources Professional;24/10/2022;31/12/2029
;Pegawai 1204;EnCase Certified Examiner;05/08/2018;31/12/2029
;Pegawai 1256;Certified Risk Management Professional;21/09/2021;31/12/2029
;Pegawai 1717;Enterprise Risk Management Certified Professional;10/12/2020;31/12/2029
;Pegawai 1321;Certified IPSAS Specialist;16/04/2020;31/12/2029
;Pegawai 1428;Certified Risk Management Professional;26/09/2020;31/12/2029
;Pegawai 1144;Certified Forensic Auditor;23/07/2022;31/12/2029
;Pegawai 299;Certified Public Accountant;09/10/2021;31/12/2029
;Pegawai 102;Cellebrite Certified Operator;08/04/2021;31/12/2029
;Pegawai 1645;Certified Pernyataan Standar Akuntansi Keuangan;20/03/2019;31/12/2029
;Pegawai 503;Certificate in International Public Sector Accounting Standards;15/04/2022;31/12/2029
;Pegawai 1808;AccessData Certified Examiner;29/12/2019;31/12/2029
;Pegawai 167;Certified Sustainability Reporting Specialist;12/06/2021;31/12/2029
;Pegawai 1296;Certified Professional Coach;22/12/2021;31/12/2029
;Pegawai 837;Certified Government Chief Audit Executive;27/06/2020;31/12/2029
;Pegawai 418;AccessData Certified Examiner;11/04/2021;31/12/2029
;Pegawai 830;Qualified Risk Management Officer;18/10/2022;31/12/2029
;Pegawai 1255;Certified Corporate Coach;12/10/2020;31/12/2029
;Pegawai 1962;Certified Human Resources Specialist;20/02/2021;31/12/2029
;Pegawai 887;Certified Internal Control Auditor;13/11/2019;31/12/2029
;Pegawai 1781;Certified Risk Professional;05/10/2020;31/12/2029
;Pegawai 51;Certified Internal Control Auditor;28/03/2021;31/12/2029
;Pegawai 442;Certified Sustainability Reporting Specialist;05/04/2021;31/12/2029
;Pegawai 37;Cisco Certified Network Associate;13/03/2021;31/12/2029
;Pegawai 1419;Governance Risk Management and Compliance Professional;21/06/2020;31/12/2029
;Pegawai 1347;Qualified Government Internal Auditor;07/07/2020;31/12/2029
